name,asin,affiliate_url,validation_status,original_product_link,normalized_product_link,candidate_main_image_link,amazon_image_search_link,source_status,source_notes,validation_notes
Loop Quiet 2 Ear Plugs,B0D3V61JC8,https://www.amazon.com/dp/B0D3V61JC8?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/Loop-Quiet-Ear-Plugs-Noise-Reducing/dp/B0D3V61JC8,https://www.amazon.com/dp/B0D3V61JC8,https://images.amazon.com/images/P/B0D3V61JC8.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Loop+Quiet+2+Ear+Plugs,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
Bloch Women's Grecian Sandal Dance Shoes,B0C62ZTGXL,https://www.amazon.com/dp/B0C62ZTGXL?tag=onasafari04-20&linkCode=ll2&language=en_US,verify_variant,https://www.amazon.com/hz/mobile/mission,https://www.amazon.com/dp/B0C62ZTGXL,https://images.amazon.com/images/P/B0C62ZTGXL.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Bloch+Women%27s+Grecian+Sandal+Dance+Shoes,Fixed with likely public product link,Likely replacement from Amazon.com search result for Bloch Women's Grecian Sandal. Confidence: Medium. Verify exact variant before publishing; use PA-API/SiteStripe for affiliate-compliant production images.,Original URL was private/non-product; use canonical affiliate URL after verifying variant.
Loop Experience Ear Plugs,B0D4DZDHZ1,https://www.amazon.com/dp/B0D4DZDHZ1?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/Loop-Experience-Ear-Plugs-High-Fidelity/dp/B0D4DZDHZ1,https://www.amazon.com/dp/B0D4DZDHZ1,https://images.amazon.com/images/P/B0D4DZDHZ1.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Loop+Experience+Ear+Plugs,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
Suede Stick-on Sheets,B07FZYY6J6,https://www.amazon.com/dp/B07FZYY6J6?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/YAVOUN-Friction-reducing-Self-Adhesive-High-Heeled-Protector/dp/B07FZYY6J6,https://www.amazon.com/dp/B07FZYY6J6,https://images.amazon.com/images/P/B07FZYY6J6.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Suede+Stick-on+Sheets,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
alien body suit,B07FY8QZP6,https://www.amazon.com/dp/B07FY8QZP6?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B07FY8QZP6,https://www.amazon.com/dp/B07FY8QZP6,https://images.amazon.com/images/P/B07FY8QZP6.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=alien+body+suit,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
alien mask,B07VYJQPK7,https://www.amazon.com/dp/B07VYJQPK7?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B07VYJQPK7,https://www.amazon.com/dp/B07VYJQPK7,https://images.amazon.com/images/P/B07VYJQPK7.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=alien+mask,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
mesh fishnet top,B0CND69VGY,https://www.amazon.com/dp/B0CND69VGY?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/ZNVGIRL-Fishnet-Shirts-Through-Cropped/dp/B0CND69VGY,https://www.amazon.com/dp/B0CND69VGY,https://images.amazon.com/images/P/B0CND69VGY.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=mesh+fishnet+top,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"BAGAIL 4 Set/6 Set Compression Packing Cubes Travel Expandable Packing Organizers(Black,4 Set)",B07XLFXJ7D,https://www.amazon.com/dp/B07XLFXJ7D?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B07XLFXJ7D,https://www.amazon.com/dp/B07XLFXJ7D,https://images.amazon.com/images/P/B07XLFXJ7D.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=BAGAIL+4+Set%2F6+Set+Compression+Packing+Cubes+Travel+Expandable+Packing+Organizers%28Black%2C4+Set%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
Leak Proof Refillable Silicone Travel Bottles - 3oz Travel Size Containers - Squeeze Bottle with TSA Bag,B0G1TSYYRW,https://www.amazon.com/dp/B0G1TSYYRW?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0G1TSYYRW,https://www.amazon.com/dp/B0G1TSYYRW,https://images.amazon.com/images/P/B0G1TSYYRW.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Leak+Proof+Refillable+Silicone+Travel+Bottles+-+3oz+Travel+Size+Containers+-+Squeeze+Bottle+with+TSA+Bag,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"2 FEET Sock for Dancing on Smooth Floors | Over Sneakers, Smooth Pivots & Turns to Dance with Style on Wood Floors | Protect Knees| 1 Pair Pack (Black)",B0FP2PY1WW,https://www.amazon.com/dp/B0FP2PY1WW?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/Haysandy-Pairs-Covers-Dancer-Classic/dp/B0FP2PY1WW,https://www.amazon.com/dp/B0FP2PY1WW,https://images.amazon.com/images/P/B0FP2PY1WW.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=2+FEET+Sock+for+Dancing+on+Smooth+Floors+%7C+Over+Sneakers%2C+Smooth+Pivots+%26+Turns+to+Dance+with+Style+on+Wood+Floors+%7C+Protect+Knees%7C+1+Pair+Pack+%28Black%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
