item_id,status,direct_image_url,source_page_url,notes
loop-quiet,direct image verified,https://us.loopearplugs.com/cdn/shop/files/PDP_QUIET_WHITE_01_5c4f02a0-c049-4e88-893e-68c9ef020d54.png?v=1725885762&width=1946,https://us.loopearplugs.com/products/quiet,Official Loop Quiet 2 product image; verified by opening image URL.
loop-experience,direct image verified,https://us.loopearplugs.com/cdn/shop/files/PDP_EXPERIENCE2_SILVER_04.jpg?v=1715847636&width=1946,https://us.loopearplugs.com/products/experience,Official Loop Experience product image; verified by opening image URL.
ue-wonderboom,direct image verified,https://resource.ultimateears.com/w_1440%2Ch_810%2Car_16%3A9%2Cc_fill%2Cq_auto%2Cf_auto%2Cdpr_1.0/d_transparent.gif/content/dam/logitech/en/products/speakers/bluetooth-speakers/wonderboom-4/wonderboom4-intro-image.jpg,https://www.ultimateears.com/en-us/shop/p/wonderboom-4.984-001879,Official Ultimate Ears Wonderboom 4 product/hero image; verified by opening image URL.
garment-steamer,direct image verified,https://cdn.shopify.com/s/files/1/2781/4384/products/Voila-front-image1.png?v=1654717068&width=240,https://dupray.com/en-us/products/voila-clothes-steamer,Dupray Voilà product image; verified by opening image URL.
travel-steamer-pro,approved local image provided,local:/mnt/data/travel-steamer.jpg,,User-supplied approved sketch reference. Need exact real product photo if this is different from Dupray Voilà.
hanging-toiletry-bag,"direct image URL discovered, not downloaded",https://relavelbag.com/cdn/shop/products/Relavel-Travel-Hanging-Toiletry-Bag-Black-01_600x.jpg?v=1690450210,https://relavelbag.com/products/relavel-travel-hanging-toiletry-bag-black,Real Relavel product image URL exposed by product page. Browser returned image URL through click; cache fetch failed in the tool but URL is direct CDN image.
dry-shampoo,direct image verified,https://www.batistehair.com/images/cans-large/original-can.png,https://www.batistehair.com/products/dry-shampoo/fragrance-original,Official Batiste Original can image; verified by opening image URL.
bloch-grecian,"real source page collected, direct image still needed",,https://us.blochworld.com/collections/footwear/products/ladies-grecian-sandal-teaching-shoes-black-leather,Official Bloch product page found; direct image URL not yet exposed by fetch.
suede-sheets,"real source page collected, direct image still needed",,https://www.exit15.com/premium-quality-suede-sheets-8-5x12-with-super-strong-self-adhes,Retail product page for self-adhesive suede sheets.
barge-cement,"real source page collected, direct image still needed",,https://www.warkov.com/products/barge-all-purpose-cement,Retail product page for Barge All-Purpose Cement.
compression-cubes,"real source page collected, direct image still needed",,https://www.rei.com/product/207408/thule-compression-packing-cube-small,Real compression cube product page; may swap for BAGAIL if exact affiliate product is available.
travel-bottles,"real source page collected, direct image still needed",,https://www.kohls.com/product/prd-7870298/mytagalongs-4-pk-mini-silicone-travel-bottles.jsp,Real silicone travel bottles product page.
dance-socks,"real source page collected, direct image still needed",,https://www.2feetdance.com/,"Official 2 Feet Dance site found; specific product page fetch failed, but source site is real."
listerine-tabs,"real source page collected, direct image still needed",,https://www.listerine.com/products/discontinued-products/on-the-go-oral-health/listerine-ready-tabs-clean-mint,Official discontinued product page.
rave-fan,"real source page collected, direct image still needed",,https://snapklik.com/en-ca/product/zolee-large-rave-folding-hand-fan-with-bamboo-ribs-for-men-women-chinese-japanese-handheld-fan-with-fabric-case-for-dance-music-festival-party-performance-decorations-gift-musical-power/02WC4PZ7YD7A5,Retail page for Zolee fan.
neck-fan,needs exact real source,,,Need exact OLV neck fan product page or replacement product.
epsom-salt,"real source page collected, direct image still needed",,https://epsomit.com/products/bath-bomb,Bath bomb/Epsom reference page; exact Epsom salt bag product can be refined.
foam-roller,needs exact real source,,,Need exact foam roller and massage gun references.
rainbow-fringe-dress,needs exact real source,,,Need exact dress product photo/source.
sequin-bomber-jacket,"real source page collected, direct image still needed",,https://www.asos.com/us/asos-design/asos-design-oversized-sequin-bomber-jacket-in-multi/prd/205604613,ASOS product page for sequin bomber jacket.
ombre-dance-dress,needs exact real source,,,Need exact ombre dress product photo/source.
rainbow-earrings,"real source page collected, direct image still needed",,https://shop.sillyloaf.com/products/rainbow-statement-earrings,Real rainbow statement earrings page.
pride-sunglasses,"real source page collected, direct image still needed",,https://www.marcopromos.com/product/heart-shaped-rainbow-sunglasses/od-25008,Real heart-shaped rainbow sunglasses page.
portable-charger,"real source page collected, direct image still needed",,https://www.ankerstores.com/product/a1383/,Anker portable power bank product page.
travel-pillow,"real source page collected, direct image still needed",,https://www.target.com/p/-/A-92150682,Target travel pillow product page.
microfiber-towel,"real source page collected, direct image still needed",,https://www.4imprint.com/product/159092/Quick-Dry-Microfiber-Cooling-Towel-with-Elastic-Loop,Real microfiber towel page.
electric-fan,"real source page collected, direct image still needed",,https://www.academy.com/p/academy-sports-outdoors-mini-handheld-fan,Real handheld fan page.
liquid-iv,"real source page collected, direct image still needed",,https://www.liquid-iv.com/products/tropical-punch-hydration-multiplier,Official Liquid I.V. product page.
shoe-brush,"real source page collected, direct image still needed",,https://bootwerks.com/metal-suede-brush/,Real metal suede brush page.
mints,"real source page collected, direct image still needed",,https://www.altoids.com/products/altoids-classic-peppermint-breath-mints-176-oz-tin-altoids,Official Altoids product page.
hand-sanitizer,"real source page collected, direct image still needed",,https://weinersltd.com/products/purell-advanced-hand-sanitizer,Travel-size Purell product page from search results.
rainbow-fan,"real source page collected, direct image still needed",,https://www.icing.com/us/glitter-rainbow-folding-fan-283512.html,Real rainbow folding fan page.
