item_id,status,direct_image_url,source_page_url,notes
bloch-grecian,"real source page collected, direct image still needed",,https://us.blochworld.com/collections/footwear/products/ladies-grecian-sandal-teaching-shoes-black-leather,Official Bloch product page found; direct image URL not yet exposed by fetch.
suede-sheets,"real source page collected, direct image still needed",,https://www.exit15.com/premium-quality-suede-sheets-8-5x12-with-super-strong-self-adhes,Retail product page for self-adhesive suede sheets.
barge-cement,"real source page collected, direct image still needed",,https://www.warkov.com/products/barge-all-purpose-cement,Retail product page for Barge All-Purpose Cement.
compression-cubes,"real source page collected, direct image still needed",,https://www.rei.com/product/207408/thule-compression-packing-cube-small,Real compression cube product page; may swap for BAGAIL if exact affiliate product is available.
travel-bottles,"real source page collected, direct image still needed",,https://www.kohls.com/product/prd-7870298/mytagalongs-4-pk-mini-silicone-travel-bottles.jsp,Real silicone travel bottles product page.
dance-socks,"real source page collected, direct image still needed",,https://www.2feetdance.com/,"Official 2 Feet Dance site found; specific product page fetch failed, but source site is real."
listerine-tabs,"real source page collected, direct image still needed",,https://www.listerine.com/products/discontinued-products/on-the-go-oral-health/listerine-ready-tabs-clean-mint,Official discontinued product page.
rave-fan,"real source page collected, direct image still needed",,https://snapklik.com/en-ca/product/zolee-large-rave-folding-hand-fan-with-bamboo-ribs-for-men-women-chinese-japanese-handheld-fan-with-fabric-case-for-dance-music-festival-party-performance-decorations-gift-musical-power/02WC4PZ7YD7A5,Retail page for Zolee fan.
neck-fan,needs exact real source,,,Need exact OLV neck fan product page or replacement product.
epsom-salt,"real source page collected, direct image still needed",,https://epsomit.com/products/bath-bomb,Bath bomb/Epsom reference page; exact Epsom salt bag product can be refined.
foam-roller,needs exact real source,,,Need exact foam roller and massage gun references.
rainbow-fringe-dress,needs exact real source,,,Need exact dress product photo/source.
sequin-bomber-jacket,"real source page collected, direct image still needed",,https://www.asos.com/us/asos-design/asos-design-oversized-sequin-bomber-jacket-in-multi/prd/205604613,ASOS product page for sequin bomber jacket.
ombre-dance-dress,needs exact real source,,,Need exact ombre dress product photo/source.
rainbow-earrings,"real source page collected, direct image still needed",,https://shop.sillyloaf.com/products/rainbow-statement-earrings,Real rainbow statement earrings page.
pride-sunglasses,"real source page collected, direct image still needed",,https://www.marcopromos.com/product/heart-shaped-rainbow-sunglasses/od-25008,Real heart-shaped rainbow sunglasses page.
portable-charger,"real source page collected, direct image still needed",,https://www.ankerstores.com/product/a1383/,Anker portable power bank product page.
travel-pillow,"real source page collected, direct image still needed",,https://www.target.com/p/-/A-92150682,Target travel pillow product page.
microfiber-towel,"real source page collected, direct image still needed",,https://www.4imprint.com/product/159092/Quick-Dry-Microfiber-Cooling-Towel-with-Elastic-Loop,Real microfiber towel page.
electric-fan,"real source page collected, direct image still needed",,https://www.academy.com/p/academy-sports-outdoors-mini-handheld-fan,Real handheld fan page.
liquid-iv,"real source page collected, direct image still needed",,https://www.liquid-iv.com/products/tropical-punch-hydration-multiplier,Official Liquid I.V. product page.
shoe-brush,"real source page collected, direct image still needed",,https://bootwerks.com/metal-suede-brush/,Real metal suede brush page.
mints,"real source page collected, direct image still needed",,https://www.altoids.com/products/altoids-classic-peppermint-breath-mints-176-oz-tin-altoids,Official Altoids product page.
hand-sanitizer,"real source page collected, direct image still needed",,https://weinersltd.com/products/purell-advanced-hand-sanitizer,Travel-size Purell product page from search results.
rainbow-fan,"real source page collected, direct image still needed",,https://www.icing.com/us/glitter-rainbow-folding-fan-283512.html,Real rainbow folding fan page.
